"","OBJECTID","COUNTRY","Fishnet_ID","Fishnet__1","barley_Fer","cassava_Fe","groundnut_","maize_Fert","millet_Fer","rapeseed_F","rice_FertM","rye_FertMe","sorghum_Fe","soybean_Fe","sunflower_","wheat_Fert","distances","rescale_ND"
"1","20","Chile",19,19,74.34194,0.881486,0.881486,154.963257,0.881486,117.061306,78.284984,54.803915,0.881486,0.881486,79.266454,94.745372,8754954.49051674,8.75495449051674
"2","25","Congo DRC",24,24,0.807756,25.552449,10.124034,10.165064,0.750573,2.229304,6.613342,2.229304,0.760589,0.769211,0.89784,0.843607,3315924.81513503,3.31592481513503
"3","60","Sudan",59,59,2.445545,1.349112,15.835117,3.704224,14.95949,2.445545,3.921614,2.445545,15.035269,2.445545,3.317536,2.445545,3410572.8007329,3.4105728007329
"4","83","France",82,82,54.44341,4.893152,4.893152,72.489978,21.61109,71.600026,18.420968,21.47859,34.915037,33.041368,84.767442,51.994609,4817631.23825174,4.81763123825174
"5","120","India",119,119,10.253672,2.591053,34.313292,9.985508,4.096355,37.668826,60.761747,2.591053,5.666111,17.39378,24.980753,40.795642,10025519.5090277,10.0255195090277
"6","155","South Sudan",154,154,3.647856,1.749882,21.481895,4.104994,1.286504,3.647856,4.322384,3.647856,5.130655,3.647856,3.718306,3.647856,3129861.67361337,3.12986167361337
"7","162","Tanzania",161,161,1.151198,9.53527,5.687925,6.53771,8.319452,1.788301,6.120624,1.788301,6.386182,0.827331,5.515391,1.788301,3529649.77064636,3.52964977064636
"8","276","Peru",275,275,1.906021,20.10597,10.67016,15.359707,1.906021,29.744919,14.01904,20.948142,12.273994,10.523414,9.631242,19.031148,7800415.87552753,7.80041587552753
"9","305","Brazil",304,304,2.400955,21.672933,21.680459,11.496511,2.400955,34.093696,8.942514,2.400955,2.400955,2.400955,12.275395,2.400955,6740808.89169087,6.74080889169087
"10","357","Tanzania",356,356,0.88988,0.745702,0.541019,0.669678,1.044081,1.044081,0.818775,1.044081,0.525332,0.569415,1.505723,1.044081,4513261.50558247,4.51326150558247
"11","364","India",363,363,11.356493,3.871015,30.767686,20.186567,7.731181,37.673813,61.11362,3.871015,5.701896,16.651816,25.094951,39.821467,9928673.19733624,9.92867319733624
"12","377","Brazil",376,376,1.190876,27.590904,15.149337,28.877254,1.190876,22.139037,1.190876,1.190876,12.130747,1.190876,8.328506,1.190876,4587081.66040338,4.58708166040338
"13","394","Paraguay",393,393,2.922816,1.397118,1.907515,5.504564,2.922816,2.922816,17.750272,2.922816,24.371872,5.017169,31.909605,8.503859,7072836.40806808,7.07283640806808
"14","399","Russian Federation",398,398,1.416142,1.416142,1.416142,3.252715,1.416142,3.289884,1.416142,1.416142,3.157958,3.098341,1.416142,1.416142,16782748.5906886,16.7827485906886
"15","470","Turkmenistan",469,469,6.447212,1.348488,1.348488,15.994497,1.348488,1.348488,16.657187,1.348488,1.348488,1.348488,1.348488,18.922354,7591255.69972954,7.59125569972954
"16","557","United Kingdom",556,556,27.388507,2.063296,2.063296,2.063296,2.063296,29.908912,2.063296,26.623754,2.063296,2.063296,2.063296,19.328375,6653128.81816445,6.65312881816445
"17","567","Bolivia",566,566,1.480385,4.137781,1.769651,1.924884,2.76267,2.76267,1.008275,2.262118,2.76267,2.76267,2.76267,2.76267,7490932.6633652,7.4909326633652
"18","577","Ecuador",576,576,1.355066,1.330772,12.027128,43.133839,1.355066,1.355066,19.203012,20.863738,1.270771,3.370757,1.355066,1.355066,8967697.51989434,8.96769751989433
"19","580","Chile",579,579,52.458638,0.154898,0.154898,87.23205,0.154898,82.291991,0.154898,43.576846,0.154898,0.154898,50.169449,52.809956,10042911.9078952,10.0429119078952
"20","600","Angola",599,599,2.861214,1.468101,1.144168,1.334029,0.992911,2.861214,1.335041,2.861214,2.861214,2.861214,1.355173,1.374537,3004584.78454505,3.00458478454505
"21","645","Angola",644,644,3.124136,1.684103,1.212236,1.749123,1.074266,3.124136,1.370586,3.124136,3.124136,3.124136,1.401495,1.402286,1905826.95585554,1.90582695585554
"22","666","Australia",665,665,34.416284,1.317526,6.855064,19.562684,19.562684,24.314809,1.317526,19.562684,21.83499,8.913354,8.913354,35.365699,17102692.4875626,17.1026924875626
"23","676","Sierra Leone",675,675,2.375316,18.000565,5.471616,0.975167,3.499355,2.375316,18.118088,2.375316,1.360119,2.375316,2.375316,2.375316,1750781.93072249,1.75078193072249
"24","719","Nigeria",718,718,3.394784,9.103892,6.467953,10.766405,6.518746,3.394784,6.142119,3.394784,8.308028,9.26227,3.394784,3.399158,1034039.99814925,1.03403999814925
"25","734","Argentina",733,733,11.466943,1.2792,1.2792,10.249329,12.227711,1.2792,1.2792,10.606472,3.151153,2.47048,1.2792,20.035339,7983587.7822008,7.9835877822008
"26","788","Brazil",787,787,2.957105,17.498825,12.624318,13.052768,2.957105,22.94573,9.985502,2.957105,2.957105,2.957105,8.984108,2.957105,6420241.4558589,6.4202414558589
"27","809","South Sudan",808,808,3.846538,1.81611,27.88983,4.171222,3.846538,3.846538,4.388612,3.846538,3.846538,3.846538,3.784534,3.846538,3689487.76333838,3.68948776333838
"28","811","Equatorial Guinea",810,810,3.755789,7.087243,2.756482,2.756482,3.755789,3.755789,3.755789,3.755789,3.755789,3.755789,3.755789,3.755789,1063830.19920592,1.06383019920592
"29","829","Brazil",828,828,3.830424,17.066673,14.579768,13.343875,3.830424,23.018887,10.276608,3.830424,3.830424,15.89538,9.208355,3.830424,6245074.4067834,6.2450744067834
"30","890","Colombia",889,889,27.338472,16.356964,8.760288,26.550446,1.873261,1.873261,53.277725,1.873261,37.192532,10.644917,1.873261,33.942371,8687756.12379357,8.68775612379357
"31","928","Brazil",927,927,1.21541,20.506773,13.413636,24.357073,1.21541,27.261901,12.816542,1.21541,1.21541,13.235953,12.368149,22.031678,7189152.30805542,7.18915230805542
"32","1016","Spain",1015,1015,58.133701,4.322872,23.162787,139.392272,21.104378,75.814626,18.835489,50.3503,33.369188,4.322872,16.181622,60.894022,4682027.96360231,4.68202796360231
"33","1038","Brazil",1037,1037,2.138171,38.61089,2.138171,13.08013,2.138171,34.006101,9.712524,2.138171,2.138171,2.138171,12.1878,2.138171,7401111.24742439,7.40111124742439
"34","1059","Chile",1058,1058,58.654862,0.12706,0.12706,101.012777,0.12706,91.838457,0.12706,46.717437,0.12706,0.12706,59.874831,59.69568,10048947.5503119,10.0489475503119
"35","1088","Yemen",1087,1087,2.534818,1.280515,1.280515,5.928653,1.499644,1.280515,1.280515,1.280515,4.004367,1.280515,1.280515,7.15083,5462400.65014539,5.46240065014539
"36","1106","Tanzania",1105,1105,0.930538,3.691401,0.574599,3.733657,6.584155,1.116081,0.877283,1.116081,5.029816,0.605795,1.602155,0.895365,4163045.37841457,4.16304537841457
"37","1207","Mexico",1206,1206,7.995906,1.875737,11.800115,30.275726,1.875737,30.721279,1.875737,1.875737,35.082781,8.983872,12.451301,63.403932,12119406.0541004,12.1194060541004
"38","1216","Indonesia",1215,1215,2.881925,64.956541,56.597882,22.50892,2.881925,2.881925,25.819347,2.881925,2.881925,2.406425,2.881925,2.881925,11586750.4030293,11.5867504030293
"39","1225","Italy",1224,1224,32.312356,5.610995,5.610995,54.987371,5.610995,28.78594,34.077192,5.610995,29.165763,46.781139,30.961713,37.29012,5158471.89911355,5.15847189911355
"40","1257","Pakistan",1256,1256,26.231775,1.969974,40.466737,29.592481,22.534427,78.45537,32.170166,1.969974,22.102149,38.731696,54.048007,52.698605,8478352.17236008,8.47835217236008
"41","1301","Brazil",1300,1300,3.522342,18.996091,3.522342,15.300471,3.522342,22.916193,16.950845,3.522342,13.103043,22.137145,9.105661,3.522342,5507252.35275,5.50725235275
"42","1318","Russian Federation",1317,1317,9.178758,2.495117,2.495117,6.729484,1.891986,5.936622,8.14753,9.480889,6.210821,3.887197,3.155786,8.310106,7290689.49126385,7.29068949126385
"43","1343","Chad",1342,1342,1.440255,0.666505,1.440255,0.874892,11.081655,1.440255,1.440255,1.440255,3.236672,1.440255,1.440255,1.049787,2693684.29166066,2.69368429166066
"44","1416","Australia",1415,1415,13.85214,1.068576,6.157074,13.85214,1.068576,1.068576,1.068576,13.85214,13.85214,6.157074,3.301321,13.85214,16150662.583449,16.150662583449
"45","1478","Indonesia",1477,1477,1.063365,11.759806,4.956062,25.473049,1.063365,1.063365,35.133446,1.063365,1.063365,3.903525,1.063365,1.063365,15422171.8876812,15.4221718876812
"46","1510","Croatia",1509,1509,19.216841,4.970575,4.970575,32.047285,17.96455,41.423164,4.970575,31.030192,28.275603,29.902952,33.05457,32.733085,5156435.32029383,5.15643532029383
"47","1524","Argentina",1523,1523,1.833984,1.833984,1.833984,17.525635,12.412639,1.833984,1.833984,10.7914,4.504502,13.936695,1.833984,33.676237,7572500.44054603,7.57250044054603
"48","1567","Peru",1566,1566,18.082278,21.137994,7.979967,25.827912,1.630509,1.630509,25.1987,21.738934,18.385203,8.227824,1.630509,20.550246,8539961.51288724,8.53996151288724
"49","1582","South Africa",1581,1581,9.08979,2.691214,4.121544,22.782369,23.113857,2.691214,29.377546,7.110615,2.691214,4.016602,20.800818,2.691214,4804398.05725826,4.80439805725826
"50","1594","Mexico",1593,1593,1.617334,1.617334,26.202693,58.537573,1.617334,28.88926,66.515847,1.617334,101.546881,15.511076,11.84992,60.503528,12297902.7478024,12.2979027478024
"51","1625","Indonesia",1624,1624,2.308215,23.986598,17.190685,35.353545,2.308215,2.308215,43.573787,2.308215,2.308215,3.883101,2.308215,2.308215,11782579.7986665,11.7825797986665
