"","X1","X2","distances"
"558",13971496.6007533,-3596269.26472392,1312594.33563637
"665",16712492.9328,-3632617.3477,1483272.31812434
"815",16457691.6398059,-4414471.74983039,1316352.96075828
"826",13412492.9328,-2666317.15395,2207518.43744701
"1415",16012492.9328,-2108372.58065,1935323.79082712
"1596",13012492.9328,-2847792.8487,2468567.07293706
"2229",16612492.9328,-2937617.42485,1659966.56241048
"2459",16664631.4001667,-4166859.44903333,1440609.15980757
"2640",13312492.9328,-3632617.3477,1955541.94107582
"2835",14612492.9328,-2013585.1064,1980027.56352024
"2971",15712492.9328,-3632617.3477,527027.3267332
"3234",14612492.9328,-2937617.42485,1144906.57048514
"3288",15212492.9328,-2108372.58065,1779777.23383269
"3321",13632785.0971681,-1922468.49202319,2545958.392362
"3846",13312492.9328,-2296477.34305,2508213.82644902
"3936",12812492.9328,-2574695.0043,2769827.63528286
"4035",16500706.1716936,-2231159.36152742,2074890.54524458
"4276",16412492.9328,-3290516.78655,1305746.38258982
"4587",14512492.9328,-3026814.8206,1134477.36096459
"4603",15812492.9328,-3881724.4436,561201.576701127
"4705",14819284.1336985,-3530831.02969371,560385.680577901
"5021",13212492.9328,-3203276.62205,2150651.31028338
"5223",14112492.9328,-2574695.0043,1738098.32453293
"5371",13012492.9328,-3115372.02545,2368310.15829374
"6558",15712492.9328,-3115372.02545,899560.012267872
"6642",14712492.9328,-2202676.04035,1769104.93256559
"6679",15712492.9328,-2666317.15395,1305571.62761237
"6717",13651927.5344435,-1863755.04285319,2579636.876258
"6946",16112492.9328,-4124193.2187,893045.096545539
"7662",13512492.9328,-3377081.28795,1812260.95266604
"7882",16812492.9328,-3377081.28795,1642561.52101111
"8056",15173602.4262882,-3771965.83312104,139431.032614984
"8167",14312492.9328,-2847792.8487,1401022.5016596
"8850",15712492.9328,-2389758.88315,1567349.12586876
"9494",13811949.5393259,-1835903.90904619,2506346.31296541
"9763",13912492.9328,-2937617.42485,1641698.44323699
"9834",15412492.9328,-2108372.58065,1786637.84673537
"10606",15412492.9328,-3026814.8206,875867.542766902
"10640",16112492.9328,-2847792.8487,1350212.64622253
"10846",16412492.9328,-2389758.88315,1895315.42466547
"11906",14012492.9328,-2937617.42485,1561219.93171552
"12270",15268119.0592581,-1771152.09777907,2116640.70929995
"12454",15012492.9328,-1435776.1316,2463554.14037021
"12532",16312492.9328,-3462959.48605,1143025.54974974
"12729",16467693.4572175,-4714855.36876058,1470951.63361993
"12879",15612492.9328,-2013585.1064,1908624.66684529
"13377",16112492.9328,-2482503.6033,1648109.01903928
"13544",14812492.9328,-2937617.42485,1046555.7072885
"13959",16812492.9328,-3632617.3477,1581875.67980957
"14407",14612492.9328,-2296477.34305,1714694.50799772
"14960",15312492.9328,-2757354.6945,1132025.34268186
"15052",15499379.8264729,-1933479.17030529,1969927.23185274
"15301",14312492.9328,-2296477.34305,1847559.35379095
"16199",14412492.9328,-2757354.6945,1407613.69222618
"16293",13412492.9328,-2847792.8487,2112524.31470627
"16574",14312492.9328,-3203276.62205,1161840.74712202
"16806",16408175.5986833,-4731540.45594442,1431897.14909765
"16915",16412492.9328,-3203276.62205,1347881.95013988
"17346",13212492.9328,-2574695.0043,2425052.72433669
"17484",13012492.9328,-2937617.42485,2432091.42685785
"17641",13012492.9328,-3799416.93585,2240571.49031701
"17670",16312492.9328,-4203511.25305,1107158.92782698
"17703",15112492.9328,-3377081.28795,529180.599703603
"17793",14712492.9328,-2108372.58065,1859149.67626975
"17975",15012492.9328,-3548141.3286,415160.065115101
"18196",16812492.9328,-3115372.02545,1741775.26647981
"18385",14512492.9328,-1726507.8001,2284017.37543651
"18663",15013151.8108027,-3631837.91737094,349577.640732123
"18892",13812492.9328,-2013585.1064,2362760.66901148
"19191",16012492.9328,-2757354.6945,1362761.407249
"19471",13312492.9328,-2757354.6945,2244282.38938267
"19707",14312492.9328,-2202676.04035,1928936.66972033
"19736",12912492.9328,-2847792.8487,2559607.29349836
"19823",13612492.9328,-2847792.8487,1940934.51036949
"19998",15812492.9328,-3963293.9918,566234.655241254
"19999",12812492.9328,-3026814.8206,2586322.22264309
"20124",15212492.9328,-3462959.48605,426537.857793731
"20241",16812492.9328,-3462959.48605,1617923.63561322
"20392",15212492.9328,-1918332.28425,1969776.65816638
"20753",14112492.9328,-3026814.8206,1427621.55205958
"21191",12632295.9597385,-2927227.38711703,2789599.05766236
"21344",13912492.9328,-2757354.6945,1752200.56593057
"21461",16312492.9328,-2937617.42485,1424355.04644865
"21605",15512492.9328,-3799416.93585,275695.51990802
"21716",15717614.2504876,-4196308.06357798,559151.049920122
"21864",13312492.9328,-2847792.8487,2200119.33393762
"22030",13411521.5899647,-3714637.60327566,1847926.00880462
"23175",17077748.3606682,-3192902.56197431,1954125.84069175
"23406",14712492.9328,-1629975.9613,2321157.97113182
"23747",15112492.9328,-3115372.02545,784732.333803785
"24116",14012492.9328,-1918332.28425,2326631.32514557
"24252",14412492.9328,-2666317.15395,1481714.08114348
"24392",16512492.9328,-3548141.3286,1306088.17832181
"24513",15412492.9328,-3548141.3286,375890.231720026
"24524",15712492.9328,-4044118.9467,486966.110916161
"24595",15012492.9328,-3290516.78655,643194.420389234
"24623",16112492.9328,-3290516.78655,1047984.69724958
"25186",15312492.9328,-1918332.28425,1970343.619706
"25321",16512492.9328,-2389758.88315,1958176.30861827
"25467",16372743.8206197,-4252258.6881647,1179180.90475691
"25523",14719169.0448069,-1252788.61899259,2688137.68320505
"25550",15712492.9328,-4124193.2187,518260.51154595
"25674",14009287.0909955,-3542953.65032321,1289000.54523769
"26073",16612492.9328,-3716378.65495,1371911.92606869
"26237",14912492.9328,-1822633.2914,2092705.11848646
"26243",13012492.9328,-2666317.15395,2550333.71640504
