  Fishnet_ID, barley_HgHa, cassava_HgHa,groundnut_HgHa,  maize_HgHa, millet_HgHa,rapeseed_HgHa,  rice_HgHa,   rye_HgHa, sorghum_HgHa, soybean_HgHa,sunflower_HgHa,  wheat_HgHa,,,
Min.   :     0  ,Min.   :0.00  ,Min.   : 0.01  ,Min.   :0.00  ,Min.   : 0.00  ,Min.   :0.00  ,Min.   :0.00  ,Min.   : 0.00  ,Min.   :0.00  ,Min.   :0.00  ,Min.   :0.00  ,Min.   :0.00  ,Min.   :0.00  ,,,
1st Qu.: 27045  ,1st Qu.:0.49  ,1st Qu.: 3.67  ,1st Qu.:0.38  ,1st Qu.: 0.73  ,1st Qu.:0.25  ,1st Qu.:0.30  ,1st Qu.: 0.78  ,1st Qu.:0.32  ,1st Qu.:0.36  ,1st Qu.:0.35  ,1st Qu.:0.26  ,1st Qu.:0.50  ,,,
Median : 54090  ,Median :1.32  ,Median : 7.74  ,Median :0.87  ,Median : 1.80  ,Median :0.62  ,Median :0.77  ,Median : 1.68  ,Median :0.99  ,Median :0.92  ,Median :0.88  ,Median :0.60  ,Median :1.25  ,,,
Mean   : 54090  ,Mean   :1.57  ,Mean   : 8.18  ,Mean   :1.04  ,Mean   : 2.50  ,Mean   :0.76  ,Mean   :0.85  ,Mean   : 2.18  ,Mean   :1.20  ,Mean   :1.35  ,Mean   :0.99  ,Mean   :0.73  ,Mean   :1.59  ,,,
3rd Qu.: 81135  ,3rd Qu.:2.42  ,3rd Qu.:12.24  ,3rd Qu.:1.50  ,3rd Qu.: 3.36  ,3rd Qu.:1.09  ,3rd Qu.:1.23  ,3rd Qu.: 3.11  ,3rd Qu.:1.72  ,3rd Qu.:2.06  ,3rd Qu.:1.44  ,3rd Qu.:1.11  ,3rd Qu.:2.23  ,,,
Max.   :108180  ,Max.   :7.61  ,Max.   :38.90  ,Max.   :5.44  ,Max.   :17.58  ,Max.   :4.54  ,Max.   :3.66  ,Max.   :10.57  ,Max.   :7.07  ,Max.   :8.69  ,Max.   :4.35  ,Max.   :3.89  ,Max.   :8.79  ,,,
NA,NA's   :96984  ,NA's   :101865  ,NA's   :99859  ,NA's   :94388  ,NA's   :100882  ,NA's   :98922  ,NA's   :99753  ,NA's   :99781  ,NA's   :97951  ,NA's   :97632  ,NA's   :98878  ,NA's   :95369  ,,,
,,,,,,,,,,,,,,,
  Fishnet_ID,Min.   :     0  ,1st Qu.: 27045  ,Median : 54090  ,Mean   : 54090  ,3rd Qu.: 81135  ,Max.   :108180  ,NA,108180,,,NA,Cultivated,,Mean,54090
 barley_HgHa,Min.   :0.00  ,1st Qu.:0.49  ,Median :1.32  ,Mean   :1.57  ,3rd Qu.:2.42  ,Max.   :7.61  ,NA's,108180,,,96984,11196,,Mean,1.57
